SMILES,Bi Basic,Bi Acidic,Bioavailability
BrCCC(=O)N1CCN(CC1)C(=O)CCBr,1,0,1.0
Brc1c(NC2=NCCN2)ccc3nccnc13,1,0,1.0
Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,1,1,1.0
C#CCN[C@@H]1CCc2ccccc12,1,0,1.0
C(COCCOCC1CO1)OCCOCC2CO2,0,0,1.0
C(Nc1ncnc2nc[nH]c12)c3occc3,1,0,1.0
C/C=C(c1ccc(O)cc1)/C(=C/C)c2ccc(O)cc2,0,1,1.0
C1CC(C2=NCCN2)c3ccccc3C1,1,0,1.0
C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,1,0,1.0
C1CCN(CC1)C2(CCCCC2)c3ccccc3,1,0,1.0
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1,1,0,1.0
C1CN1c2nc(nc(n2)N3CC3)N4CC4,1,0,1.0
C1CN2CCC1C(C2)CN3c4ccccc4Sc5ccccc35,1,0,1.0
C1CN=C(Cc2ccccc2)N1,1,0,1.0
C1CN=C(N1)C2CC2(c3ccccc3)c4ccccc4,1,0,1.0
C1CN=C(NC(C2CC2)C3CC3)O1,1,0,1.0
C1CNCCN1,1,0,1.0
C1COCCO1,0,0,1.0
C1N2CN3CN1CN(C2)C3,1,0,1.0
C=CN1CCCC1=O,1,0,
C=COC=C,0,0,1.0
C=O,0,0,1.0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,1,1,1.0
CC(=C)C1CCC(=CC1)C,0,0,1.0
CC(=O)C(O)=O,0,1,1.0
CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C,0,0,1.0
CC(=O)CC(c1ccc(cc1)[N+]([O-])=O)C2=C(O)Oc3ccccc3C2=O,0,1,1.0
CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,0,1,1.0
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,1,1,1.0
CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c2c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c2I,1,1,0.0
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,1,1,0.0
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,1,1,0.0
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,1,1,0.0
CC(=O)N(c1onc(C)c1C)[S](=O)(=O)c2ccc(N)cc2,1,0,1.0
CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2,1,1,1.0
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I,1,1,1.0
CC(=O)NO,0,1,1.0
CC(=O)N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,1,1,1.0
CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O)N=C(N)N,1,1,0.0
CC(=O)N[S](=O)(=O)c1ccc(N)cc1,1,1,1.0
CC(=O)Nc1c(I)cc(I)c(C(O)=O)c1I,1,1,1.0
CC(=O)Nc1cc(ccc1O)[As]2SCC(CO)S2,1,1,1.0
CC(=O)Nc1ccc(O)cc1,1,1,1.0
CC(=O)Nc1ccc(cc1)/C=N/NC(N)=S,1,1,1.0
CC(=O)Nc1ccc(cc1)[S](Cl)(=O)=O,1,1,1.0
CC(=O)Nc1sc(nn1)[S](N)(=O)=O,1,1,1.0
CC(=O)OC1CN2CCC1CC2,1,0,1.0
CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,1,1,1.0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,0,1,1.0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,0,1,1.0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@]12C,0,1,1.0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,0,1,1.0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,0,1,1.0
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]23C,1,1,1.0
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C,0,1,1.0
CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O,1,0,1.0
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CC#N)C2=O)C(O)=O,1,1,1.0
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O,0,0,1.0
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,0,0,1.0
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,0,0,1.0
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,1,1,0.0
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)C2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,1,1,0.0
CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(C)=O)C#C)[C@@H]3CCC2=C1,0,0,1.0
CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C,0,1,1.0
CC(=O)O[C@]1(CC[C@H]2[C@@H]3CC=C4C=C(CC[C@@H]4[C@H]3CC[C@]12C)OC5CCCC5)C#C,0,0,1.0
CC(=O)Oc1cc(ccc1C(O)=O)C(F)(F)F,0,1,1.0
CC(=O)Oc1ccc(cc1)C(c2ccc(OC(C)=O)cc2)c3ccccn3,1,0,1.0
CC(=O)Oc1ccc(cc1)[C](=[C]2CC[CH2]CC2)c3ccc(OC(C)=O)cc3,0,0,1.0
CC(=O)Oc1ccc2C3CC[C@]4(C)[C@@H](O)CCC4C3CCc2c1,0,1,1.0
CC(=O)Oc1cccc2C(=O)c3cc(cc(OC(C)=O)c3C(=O)c12)C(O)=O,0,1,1.0
CC(=O)Oc1ccccc1C(=O)Nc2sc(cn2)[N+]([O-])=O,1,1,1.0
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc2ccccc2,1,1,1.0
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,0,0,1.0
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C,0,1,1.0
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,1,1.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,0,0,1.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,1,1.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0,1.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,1,1.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,0,1,1.0
CC(=O)c1ccc(cc1)[S](=O)(=O)NC(=O)NC2CCCCC2,1,1,1.0
CC(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(CCO)CC4)c2c1,1,1,1.0
CC(C(O)=O)c1ccc(CC2CCCC2=O)cc1,0,1,1.0
CC(C(O)=O)c1ccc(N2CC=CC2)c(Cl)c1,1,1,1.0
