SMILES,Most Basic,Most Acidic,Mass Solubility pH 1,Mass Solubility pH 2,Mass Solubility pH 3,Mass Solubility pH 4,Mass Solubility pH 5,Mass Solubility pH 6,Mass Solubility pH 7,Mass Solubility pH 8,Mass Solubility pH 9,Mass Solubility pH 10,LogD pH 1,LogD pH 2,LogD pH 3,LogD pH 4,LogD pH 5,LogD pH 6,LogD pH 7,LogD pH 8,LogD pH 9,LogD pH 10,Water Solubility,Caco-2 permeable,Melting Point (°C),Boiling Point (°C),Bioavailability,Bi Basic,Bi Acidic
BrCCC(=O)N1CCN(CC1)C(=O)CCBr,-0.56,,0.7558748556724915,0.7558748556724915,0.7558748556724915,0.7558748556724915,0.7558748556724915,0.7558748556724915,0.7558748556724915,0.7558748556724915,0.7558748556724915,0.7558748556724915,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.3961993470957364,-0.5115,2.4771212547196626,,1.0,1.0,0.0
Brc1c(NC2=NCCN2)ccc3nccnc13,7.69,,1.6434526764861874,1.6127838567197355,1.6127838567197355,1.6127838567197355,1.5440680443502757,1.2041199826559248,0.4623979978989561,-0.17392519729917355,-0.3565473235138126,-0.38721614328026455,-0.81,-0.8,-0.8,-0.79,-0.73,-0.39,0.36,0.99,1.18,1.2,1.5314789170422551,0.5435,2.3170181010481117,,1.0,1.0,0.0
Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,2.0,11.39,0.7323937598229685,0.0,-0.2218487496163564,-0.26760624017703144,-0.26760624017703144,-0.26760624017703144,-0.26760624017703144,-0.26760624017703144,-0.26760624017703144,-0.24412514432750865,1.28,1.99,2.24,2.27,2.28,2.28,2.28,2.28,2.27,2.25,-1.3990271043132518,0.7571,,,1.0,1.0,1.0
C#CCN[C@@H]1CCc2ccccc12,6.95,,3.0,3.0,3.0,2.9777236052888476,2.1760912590556813,1.2304489213782739,0.5314789170422551,0.3222192947339193,0.2787536009528289,0.2787536009528289,-1.42,-1.42,-1.37,-1.04,-0.25,0.68,1.4,1.64,1.67,1.68,-1.6038006529042637,0.5585,,,1.0,1.0,0.0
C(COCCOCC1CO1)OCCOCC2CO2,,,1.7634279935629373,1.7634279935629373,1.7634279935629373,1.7634279935629373,1.7634279935629373,1.7634279935629373,1.7634279935629373,1.7634279935629373,1.7634279935629373,1.7634279935629373,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,0.44560420327359757,,,,1.0,0.0,0.0
C(Nc1ncnc2nc[nH]c12)c3occc3,9.24,,2.6232492903979003,2.6232492903979003,2.6232492903979003,2.621176281775035,2.6180480967120925,2.583198773968623,2.342422680822206,1.6532125137753437,0.9344984512435677,0.6720978579357175,-2.45,-2.45,-2.45,-2.45,-2.45,-2.41,-2.17,-1.48,-0.76,-0.49,-0.026872146400301365,,,,1.0,1.0,0.0
C/C=C(c1ccc(O)cc1)/C(=C/C)c2ccc(O)cc2,,9.21,-2.2518119729937998,-2.2518119729937998,-2.2518119729937998,-2.2518119729937998,-2.2518119729937998,-2.2518119729937998,-2.2518119729937998,-2.2291479883578558,-2.0177287669604316,-1.0555173278498313,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.89,4.69,3.72,-2.5228787452803374,0.8916,2.368286884902131,,1.0,0.0,1.0
C1CC(C2=NCCN2)c3ccccc3C1,10.42,,0.9542425094393249,0.9542425094393249,0.9542425094393249,0.9542425094393249,0.9542425094393249,0.9542425094393249,0.9444826721501687,0.8195439355418687,0.3010299956639812,-0.494850021680094,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.98,1.51,2.29,-0.6216020990518624,,2.409087369447835,,1.0,1.0,0.0
C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,10.52,,1.0413926851582251,1.0413926851582251,1.0413926851582251,1.0413926851582251,1.0413926851582251,1.0413926851582251,0.9030899869919435,0.36172783601759284,-0.5086383061657274,-1.408935392973501,3.36,3.36,3.36,3.36,3.37,3.38,3.5,4.05,4.94,5.83,-4.565431095965801,0.6799,,,1.0,1.0,0.0
C1CCN(CC1)C2(CCCCC2)c3ccccc3,8.21,,2.403120521175818,2.403120521175818,2.399673721481038,2.361727836017593,2.146128035678238,1.462397997898956,0.5314789170422551,-0.26760624017703144,-0.638272163982407,-0.6989700043360187,1.15,1.15,1.15,1.18,1.4,2.09,3.02,3.83,4.19,4.24,-2.4881166390211256,0.8867,1.667452952889954,2.1335389083702174,1.0,1.0,0.0
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1,10.08,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.3010299956639813,1.2787536009528289,0.47712125471966244,-1.26,-1.26,-1.26,-1.26,-1.25,-1.14,-0.48,0.68,1.71,2.49,0.48287358360875376,0.6725,1.4842998393467859,2.5118833609788744,1.0,1.0,0.0
C1CN1c2nc(nc(n2)N3CC3)N4CC4,3.13,,1.8512583487190752,1.0,0.25527250510330607,-0.06550154875643228,-0.11918640771920865,-0.11918640771920865,-0.11918640771920865,-0.11918640771920865,-0.11918640771920865,-0.11918640771920865,-1.46,-0.63,0.15,0.46,0.51,0.52,0.52,0.52,0.52,0.52,1.0043213737826426,,,,1.0,1.0,0.0
C1CN2CCC1C(C2)CN3c4ccccc4Sc5ccccc35,10.43,,-0.1938200260161128,-0.21467016498923297,-0.21467016498923297,-0.21467016498923297,-0.21467016498923297,-0.23657200643706275,-0.4089353929735008,-1.0604807473813815,-2.0,-2.8239087409443187,2.07,2.09,2.1,2.1,2.1,2.12,2.3,2.94,3.87,4.71,-2.396855627379818,0.6548,2.1156105116742996,,1.0,1.0,0.0
C1CN=C(Cc2ccccc2)N1,10.9,,1.954242509439325,1.954242509439325,1.954242509439325,1.954242509439325,1.954242509439325,1.954242509439325,1.954242509439325,1.9030899869919435,1.6020599913279623,0.8750612633917001,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.19,-0.15,0.15,0.89,-0.4282911681913124,-0.5062,2.2405492482826,,1.0,1.0,0.0
C1CN=C(N1)C2CC2(c3ccccc3)c4ccccc4,10.82,,0.2787536009528289,0.2787536009528289,0.2787536009528289,0.2787536009528289,0.2787536009528289,0.2787536009528289,0.25527250510330607,0.2041199826559248,-0.11918640771920865,-0.8860566476931632,1.49,1.49,1.49,1.49,1.49,1.49,1.5,1.55,1.89,2.64,-2.3142582613977365,,,,1.0,1.0,0.0
