"AUTHOR_MENU_SEQ","AUTHOR_ID","MENU_ID","REGISTER_NO","REGIST_DT","UPDUSR_NO","UPDT_DT"
10588,WRD,"10001000",1,,0,
10589,WRD,"100010001100",1,,0,
10590,WRD,"1000100011001700",1,,0,
10591,WRD,"10001000110017001000",1,,0,
10592,WRD,"10001000110017001100",1,,0,
10593,WRD,"10001000110017001200",1,,0,
10594,WRD,"10001000110017001300",1,,0,
10595,WRD,"10001000110017001400",1,,0,
10596,WRD,"10001000110017001500",1,,0,
10597,WRD,"10001000110017001600",1,,0,
10598,WRD,"10001000110017001700",1,,0,
10599,WRD,"10001000110017001800",1,,0,
10600,WRD,"10001000110017001900",1,,0,
10601,WRD,"10001000110017002000",1,,0,
13862,DEV,"10001000",1,,0,
13863,DEV,"100010001100",1,,0,
26668,GEN,"10001000",1,,0,
26669,GEN,"100010001100",1,,0,
26670,GEN,"1000100011001000",1,,0,
26671,GEN,"10001000110010001000",1,,0,
26672,GEN,"10001000110010001100",1,,0,
26673,GEN,"10001000110010001200",1,,0,
26674,GEN,"10001000110010001300",1,,0,
26675,GEN,"10001000110010001400",1,,0,
26676,GEN,"10001000110010001500",1,,0,
26677,GEN,"1000100011001100",1,,0,
26678,GEN,"10001000110011001000",1,,0,
26679,GEN,"10001000110011001100",1,,0,
26680,GEN,"10001000110011001200",1,,0,
26681,GEN,"10001000110011001300",1,,0,
26682,GEN,"10001000110011001400",1,,0,
26683,GEN,"10001000110011001500",1,,0,
26684,GEN,"10001000110011001600",1,,0,
26685,GEN,"10001000110011001700",1,,0,
26686,GEN,"10001000110011001800",1,,0,
26687,GEN,"10001000110011001900",1,,0,
26688,GEN,"10001000110011002000",1,,0,
26689,GEN,"10001000110011002100",1,,0,
26690,GEN,"1000100011001700",1,,0,
26691,GEN,"10001000110017001000",1,,0,
26692,GEN,"10001000110017001100",1,,0,
26693,GEN,"10001000110017001200",1,,0,
26694,GEN,"10001000110017001300",1,,0,
26695,GEN,"10001000110017001400",1,,0,
26696,GEN,"10001000110017001500",1,,0,
26697,GEN,"10001000110017001600",1,,0,
26698,GEN,"10001000110017001700",1,,0,
26699,GEN,"10001000110017001800",1,,0,
26700,GEN,"10001000110017001900",1,,0,
26701,GEN,"10001000110017002000",1,,0,
26702,GEN,"10001000110017002100",1,,0,
26703,GEN,"10001000110017002200",1,,0,
26704,GEN,"1000100011001200",1,,0,
26705,GEN,"10001000110012001000",1,,0,
26706,GEN,"10001000110012001100",1,,0,
26707,GEN,"10001000110012001200",1,,0,
26708,GEN,"10001000110012001300",1,,0,
26709,GEN,"10001000110012001400",1,,0,
26710,GEN,"10001000110012001500",1,,0,
26711,GEN,"10001000110012001600",1,,0,
26712,GEN,"10001000110012001700",1,,0,
26713,GEN,"10001000110012001800",1,,0,
26714,GEN,"1000100011001600",1,,0,
26715,GEN,"10001000110016001000",1,,0,
26716,GEN,"10001000110016001100",1,,0,
26717,GEN,"10001000110016001200",1,,0,
26718,GEN,"10001000110016001300",1,,0,
26719,GEN,"10001000110016001400",1,,0,
